date,code,close,open,high,low,volume
2018/12/7,sz50,2430.72,2441.38,2444.98,2427.89,1450000000
2018/12/10,sz50,2408.61,2410.17,2425.74,2399.32,1760000000
2018/12/11,sz50,2415.58,2408.92,2420.52,2405.87,1290000000
2018/12/12,sz50,2423.32,2437.61,2437.61,2414.33,1420000000
2018/12/13,sz50,2457.9,2429.39,2469.7,2423.57,2810000000
2018/12/14,sz50,2423.38,2446.81,2448.8,2423.09,2590000000
2018/12/17,sz50,2425.94,2420.58,2430.89,2409.01,2120000000
2018/12/18,sz50,2397.87,2409.58,2427.68,2388.98,2070000000
2018/12/19,sz50,2369.55,2401.91,2403.89,2366.4,1870000000
2018/12/20,sz50,2334.92,2363,2372.37,2319.1,2690000000
2018/12/21,sz50,2306.15,2325.98,2327.44,2288.4,2480000000
2018/12/24,sz50,2309.23,2293.75,2311.73,2286.99,1830000000
2018/12/25,sz50,2297.33,2285.66,2308.61,2256.47,2400000000
2018/12/26,sz50,2281.56,2293.29,2303.2,2278.29,1580000000
2018/12/27,sz50,2276.06,2310.81,2313.05,2275.04,2680000000
2018/12/28,sz50,2293.1,2279.7,2305.91,2278.25,2430000000
2019/1/2,sz50,2262.79,2298.18,2301.06,2252.75,2090000000
2019/1/3,sz50,2269.24,2259.48,2287.78,2253.94,1890000000
2019/1/4,sz50,2314.65,2252.74,2316.35,2249.37,2590000000
2019/1/7,sz50,2314.32,2329.03,2331.6,2306.9,2530000000
2019/1/8,sz50,2305.17,2312.17,2312.17,2298.95,1810000000
2019/1/9,sz50,2332.72,2320.91,2360.36,2318.44,2870000000
2019/1/10,sz50,2331.85,2333.22,2345.33,2321.3,2230000000
2019/1/11,sz50,2354.5,2342.02,2360.06,2334.91,1840000000
2019/1/14,sz50,2331.14,2350.26,2354.31,2330,1650000000
2019/1/15,sz50,2378.37,2337.7,2380.6,2332.41,2250000000
2019/1/16,sz50,2381.22,2375.17,2385.22,2366.34,1810000000
2019/1/17,sz50,2371.35,2388.59,2396.8,2370.58,2160000000
2019/1/18,sz50,2417.36,2385.62,2422.03,2380.56,3010000000
2019/1/21,sz50,2432.49,2418,2443.23,2418,2620000000
2019/1/22,sz50,2401.23,2430.43,2430.43,2394.18,1940000000
2019/1/23,sz50,2397.05,2397.41,2414.02,2392.64,1630000000
2019/1/24,sz50,2411.56,2401.38,2414.89,2385.1,2040000000
